1434	H/O: diabetes mellitus
XaBwk	H/O: Admission in last year for hyperglycaemic disorder
XaBwj	H/O: Admission in last year for diabetes foot problem
XaBul	Retinal abnormality - diabetes-related
XaBun	Foot abnormality - diabetes-related
XaBLf	O/E - Right diabetic foot at risk
XaBLg	O/E - Left diabetic foot at risk
XaBun	Foot abnormality - diabetes-related
XaX6K	O/E - Left diabetic foot at increased risk
XaX6J	O/E - Right diabetic foot at increased risk
XaIeH	O/E - Right diabetic foot at low risk
XaIeS	O/E - Right diabetic foot at moderate risk
XaIeI	O/E - Right diabetic foot at high risk
XaIeJ	O/E - Right diabetic foot - ulcerated
XaIeL	O/E - Left diabetic foot at low risk
XaIeR	O/E - Left diabetic foot at moderate risk
XaIeM	O/E - Left diabetic foot at high risk
XaIeK	O/E - Left diabetic foot - ulcerated
XaKHh	O/E - right chronic diabetic foot ulcer
XaKHi	O/E - left chronic diabetic foot ulcer
XaBuj	Education score - diabetes
XM0cZ	Diabetes wellbeing questionnaire
XM0cY	Diabetes treatment satisfaction questionnaire
XaKH7	United Kingdom Prospective Diabetes Study 10 year coronary heart disease risk score
XaCEV	HbA1 greater than 10 - bad control
42W3.	Hb. A1C > 10 - bad control
44V3.	Glucose tol. test diabetic
XaYbB	Diabetes self-management plan agreed
XaYZP	Diabetes self-management plan review
66A..	Diabetic monitoring
66A1.	Initial diabetic assessment
66A2.	Follow-up diabetic assessment
66A3.	Diabetic on diet only
66A4.	Diabetic on oral treatment
66A5.	Diabetic on insulin
66A8.	Has seen dietician - diabetes
XaIrM	Diabetic diet - poor compliance
66AA.	Injection sites - diabetic
XE1T2	Diabetic monitoring - injection sites
XaIuE	Diabetic foot examination
XaIyt	Diabetic peripheral neuropathy screening
66AD.	Fundoscopy - diabetic check
XaKGs	Patient diabetes education review
XaKvV	Insulin needles changed daily
66AG.	Diabetic drug side effects
66AH.	Diabetic treatment changed
66AH0	Conversion to insulin
XaaJJ	Conversion to insulin in secondary care
XaaJK	Conversion to insulin by diabetes specialist nurse
XabQM	Conversion to non-insulin injectable medication
XaKwQ	Diabetic 6 month review
66AI.	Diabetic - good control
XaL1R	Insulin needles changed less than once a day
XE1T3	Diabetic - poor control
XM1Xk	Unstable diabetes
66AJ0	Chronic hyperglycaemia
66AJ1	Brittle diabetes
XM1Xk	Brittle diabetes
66AJ2	Loss of hypoglycaemic warning
66AJ3	Recurrent severe hypos
Xaaq3	Hypoglycaemic warning absent
66AJz	Diabetic - poor control NOS
XaL2E	Diabetic monitoring - lower risk albumin excretion
66AK.	Diabetic - cooperative patient
XaL2F	Diabetic monitoring - higher risk albumin excretion
66AL.	Diabetic-uncooperative patient
XaMdq	Insulin dose changed
66AM.	Diabetic - follow-up default
XaMhJ	Diabetes type 1 review
66AN.	Date diabetic treatment start
XaMhK	Diabetes type 2 review
66AO.	Date diabetic treatment stopped
XaP63	Insulin treatment initiated
66AP.	Diabetes: practice programme
XaPQH	Diabetic foot screen
66AQ.	Diabetes: shared care programme
XaQjs	Unsuitable for diabetes year of care programme
XaQjt	Declined consent for diabetes year of care programme
XaR7E	Insulin treatment stopped
66AR.	Diabetes management plan given
XaRGt	Diabetic on subcutaneous treatment
66AS.	Diabetic annual review
Xaag1	Diabetes Year of Care annual review
XaX3o	Diabetic dietary review
66AT.	Annual diabetic blood test
XaX3p	Type I diabetic dietary review
XaX3p	Type 1 diabetic dietary review
XaX3q	Type II diabetic dietary review
XaX3q	Type 2 diabetic dietary review
XaXgv	Diabetic erectile dysfunction review
XaIIe	Diabetes care by hospital only
XaXhE	Diabetic assessment of erectile dysfunction
XaEgI	Diabetic on insulin and oral treatment
XaXfW	Insulin dose
XaIeT	Diabetic foot risk assessment
XaXlm	Checking accuracy of blood glucose meter
XaIeo	Diabetes: shared care in pregnancy - diabetologist and obstetrician
XaYmK	Gestational diabetes mellitus annual review
XaIrL	Diabetic diet - good compliance
XaZhV	High risk of diabetes mellitus annual review
66AZ.	Diabetic monitoring NOS
66A..	Diabetic monitoring
XabjM	Enquiry about diabetic erectile dysfunction declined
XacXh	Diabetic on non-insulin injectable medication
XacY8	Has diabetes identity card
XacsX	Diabetic on oral treatment and glucagon-like peptide 1 receptor agonist
XacsY	Diabetic on insulin and glucagon-like peptide 1 receptor agonist
XaccX	Diabetic injection administration education
XaJ7D	Health education - diabetes
XaR8L	Education in self management of diabetes
XaaaR	Education about diabetes and driving
XaaaR	Advice about diabetes and driving
XabZd	Diabetic foot care education
XaIIj	Diabetic retinopathy screening
XaKaW	Diabetic retinopathy screening offered
XaLsL	Diabetic digital retinopathy screening offered
XaJlI	Pan retinal photocoagulation for diabetes
XaFx7	Diabetes mellitus insulin-glucose infusion in acute myocardial infarction
8A12.	Diabetic crisis monitoring
8A13.	Diabetic stabilisation
XaIfM	Diabetes medication review
XaJ5j	Patient on maximal tolerated therapy for diabetes
XaYQX	Insulin alert patient information booklet given
XaYQZ	Insulin passport given
XaZig	Diabetes clinical pathway
XaKHD	Transition of diabetes care options discussed
XaJYg	Diabetes clinical management plan
XaKSn	Diabetes care plan agreed
8H2J.	Admit diabetic emergency
8H3O.	Non-urgent diabetic admission
XaON1	Referral to diabetes special interest general practitioner
8H4F.	Referral to diabetologist
8H7C.	Refer, diabetic liaison nurse
XaE46	Referral to diabetes nurse
XaIQS	Refer to diabetic foot screener
XaJLa	Diabetic retinopathy 12 month review
XaJLb	Diabetic retinopathy 6 month review
XaKbu	Discharged from care of diabetes specialist nurse
XaQGH	Discharged from diabetes shared care programme
Xabhn	Discharge from secondary care diabetes service
XaaCV	Discharge from in-house diabetic foot screening
XaLMa	Referral to diabetic register
XaKGy	Referral to diabetes structured education programme
XaKGz	Family/carer referral to diabetes structured education programme
XaNTQ	Referral to DAFNE diabetes structured education programme
8HKE.	Diabetology D.V. requested
XaMFF	Referral for diabetic retinopathy screening
XaMhQ	Referral to community diabetes specialist nurse
XaYaB	Referral to community diabetes service
8HLE.	Diabetology D.V. done
8HME.	Listed for Diabetology admissn
XaKzO	Referral to multidisciplinary diabetic clinic
XaZRZ	Referral to community diabetes clinic
XaLP3	Referral to diabetic eye clinic
8HVU.	Private referral to diabetologist
XaJix	Diabetic foot examination declined
XaKOF	Patient held diabetic record declined
XaNTd	Did not complete diabetes structured education programme
XaNTe	Did not complete DAFNE diabetes structured education program
XaX3r	Diabetic dietary review declined
XaXv9	Diabetes care plan declined
XaXkZ	Referral to diabetes education and self management for ongoing and newly diagnosed structured programme declined
XaZuQ	Referral to DAFNE diabetes structured education programme declined
XaZNW	Referral to community diabetes specialist nurse declined
XaLMy	Patient consent given for addition to diabetic register
XaJK3	Diabetic medicine
XaPaa	Eligible for diabetic retinopathy screening
XaJrD	Informed consent for diabetes national audit
XaPjM	Declined diabetic retinopathy screening
XaKaL	Seen in diabetic nurse consultant clinic
XaJEN	Seen in diabetic foot clinic
XaKzP	Seen in multidisciplinary diabetic clinic
9N1Q.	Seen in diabetic clinic
XaIPX	Seen by diabetologist
XaATw	Seen by diabetic liaison nurse
XaIR4	DNA - Did not attend diabetic clinic
XaL1S	Did not attend diabetic retinopathy clinic
XacIu	Joint consultation with practice nurse and community diabetes specialist nurse
XacJ1	Joint consultation with General Practitioner and community diabetes specialist nurse
XaNTa	Did not attend diabetes structured education programme
XaNU1	Did not attend DAFNE diabetes structured education programme
XaNU3	Did not attend XPERT diabetes structured education programme
XaXHD	Did not attend diabetes foot screening
XaaCR	In-house diabetic foot screening
XaaCS	In-house diabetic foot screening first appointment
XaaCU	In-house diabetic foot screening follow-up appointment
XaNHp	Seen by general practitioner with special interest in diabetes
XaeBx	Seen by diabetes specialist nurse
XaE4q	Attending diabetes clinic
XaJO3	Under care of diabetologist
XaJO4	Under care of diabetes specialist nurse
XaeBz	Under care of hospital-based diabetes specialist nurse
XaeC0	Under care of community-based diabetes specialist nurse
XaJO9	Under care of diabetic foot screener
XE2Nd	Diabetes monitoring admin.
XM1Rs	Diabetes clinic administration
9OL1.	Attends diabetes monitoring
9OL2.	Refuses diabetes monitoring
9OL3.	Diabetes monitoring default
9OL4.	Diabetes monitoring first letter
9OL5.	Diabetes monitoring second letter
9OL6.	Diabetes monitoring third letter
9OL7.	Diabetes monitoring verbal invite
9OL8.	Diabetes monitoring telephone invite
XE2Ne	Diabetes monitoring check done
XE2Ne	Diabetes monitored
XaN1z	Attended DESMOND structured programme
XaNHW	Diabetes structured education programme completed
XaX5D	Diabetes structured education programme completed
XaNT8	Attended XPERT diabetes structured education programme
XaNTA	Attended DAFNE diabetes structured education programme
XaNTB	DAFNE diabetes structured education programme completed
XaNTC	DESMOND diabetes structured education programme completed
XaNTD	XPERT diabetes structured education programme completed
XaNTH	Diabetes structured education programme declined
XaX1n	Diabetes monitoring invitation by SMS (short message service) text messaging
XaeWH	X-PERT First Steps diabetes self-management programme completed
9OLZ.	Diabetes monitoring admin.NOS
XaZw5	Diabetic foot screening invitation
XaZw7	Diabetic foot screening invitation first letter
XaZw8	Diabetic foot screening invitation second letter
XaZyM	Diabetic foot screening invitation third letter
C10..	Diabetes mellitus
C100.	Diabetes mellitus with no mention of complication
XE10E	Diabetes mellitus, juvenile type, with no mention of complication
X40J4	Insulin-dependent diabetes mellitus
X40J4	Type I diabetes mellitus
XE10F	Diabetes mellitus, adult onset, with no mention of complication
X40J5	Type 2 diabetes mellitus
X40J5	Type II diabetes mellitus
X40J5	NIDDM - Non-insulin dependent diabetes mellitus
X40J5	Type II diabetes mellitus
C100z	Diabetes mellitus NOS with no mention of complication
C101.	Diabetes mellitus with ketoacidosis
C1010	Diabetes mellitus, juvenile type, with ketoacidosis
C1011	Diabetes mellitus, adult onset, with ketoacidosis
C101y	Other specified diabetes mellitus with ketoacidosis
C101z	Diabetes mellitus NOS with ketoacidosis
C102.	Diabetes mellitus with hyperosmolar coma
C1020	Diabetes mellitus, juvenile type, with hyperosmolar coma
C1021	Diabetes mellitus, adult onset, with hyperosmolar coma
C102z	Diabetes mellitus NOS with hyperosmolar coma
C103.	Diabetes mellitus with ketoacidotic coma
C1030	Diabetes mellitus, juvenile type, with ketoacidotic coma
