14A2.	H/O: hypertension
662F.	Hypertension treatm. started
662G.	Hypertensive treatm.changed
662O.	On treatment for hypertension
G2...	Hypertensive disease
G2...	Hypertensive disease
G20..	Essential hypertension
G20..	Essential hypertension
G20..	Essential hypertension
G200.	Malignant essential hypertension
G200.	Malignant essential hypertension
G201.	Benign essential hypertension
G202.	Systolic hypertension
G20z.	Essential hypertension NOS
G20z.	Essential hypertension NOS
G21..	Hypertensive heart disease
G210.	Malignant hypertensive heart disease
G2100	Malignant hypertensive heart disease without CCF
G2101	Malignant hypertensive heart disease with CCF
G211.	Benign hypertensive heart disease
G2110	Benign hypertensive heart disease without CCF
G2111	Benign hypertensive heart disease with CCF
G21z.	Hypertensive heart disease NOS
G21z0	Hypertensive heart disease NOS without CCF
G21z0	Hypertensive heart disease NOS without CCF
G21z1	Hypertensive heart disease NOS with CCF
G22..	Hypertensive renal disease
G22..	Hypertensive renal disease
G220.	Malignant hypertensive renal disease
G221.	Benign hypertensive renal disease
G222.	Hypertensive renal disease with renal failure
G22z.	Hypertensive renal disease NOS
G22z.	Hypertensive renal disease NOS
G23..	Hypertensive heart and renal disease
G23..	Hypertensive heart and renal disease
G230.	Malignant hypertensive heart and renal disease
G231.	Benign hypertensive heart and renal disease
G232.	Hypertensive heart&renal dis wth (congestive) heart failure
G233.	Hypertensive heart and renal disease with renal failure
G234.	Hyperten heart&renal dis+both(congestv)heart and renal fail
G23z.	Hypertensive heart and renal disease NOS
G2y..	Other specified hypertensive disease
G2z..	Hypertensive disease NOS
G672.	Hypertensive encephalopathy
G672.	Hypertensive encephalopathy
Gyu2.	[X]Hypertensive diseases
L122.	Other pre-existing hypertension in preg/childbirth/puerp
L1220	Other pre-existing hypertension in preg/childb/puerp unspec
L1221	Other pre-existing hypertension in preg/childb/puerp - deliv
L1223	Other pre-exist hypertension in preg/childb/puerp-not deliv
L122z	Other pre-existing hypertension in preg/childb/puerp NOS
L127.	Pre-eclampsia or eclampsia with pre-existing hypertension
L127z	Pre-eclampsia or eclampsia + pre-existing hypertension NOS
L128.	Pre-exist hypertension compl preg childbirth and puerperium
L1280	Pre-exist hyperten heart dis compl preg childbth+puerperium
L1282	Pre-exist 2ndry hypertens comp preg childbth and puerperium
G24..	Secondary hypertension
G240.	Secondary malignant hypertension
G2400	Secondary malignant renovascular hypertension
G240z	Secondary malignant hypertension NOS
G241.	Secondary benign hypertension
G2410	Secondary benign renovascular hypertension
G241z	Secondary benign hypertension NOS
G244.	Hypertension secondary to endocrine disorders
G24z.	Secondary hypertension NOS
G24z0	Secondary renovascular hypertension NOS
G24zz	Secondary hypertension NOS
Gyu21	[X]Hypertension secondary to other renal disorders
6627	Good hypertension control
6628	Poor hypertension control
662b.	Moderate hypertension control
F4213	Hypertensive retinopathy
G203.	Diastolic hypertension
G21zz	Hypertensive heart disease NOS
6627	Good hypertension control
6628	Poor hypertension control
F4211	Hypertensive retinopathy
F4211	Hypertensive retinopathy
F4211	Hypertensive retinopathy
G210z	Malignant hypertensive heart disease NOS
G211z	Benign hypertensive heart disease NOS
Gyu20	[X]Other secondary hypertension
L1222	Oth pre-exist hypert in preg/childb/puerp -del with p/n comp
L1224	Other pre-exist hypertension in preg/childb/puerp + p/n comp
L1281	Pre-exist hyperten heart renal dis comp preg chldbirth/puerp
XE0Ub	Hypertension
XE0Uc	Essential hypertension
XE0Ud	Essential hypertension NOS
XE0Ue	Hypertensive heart disease NOS without CCF
XE0Uf	Hypertensive renal disease
XE0VM	Hypertensive encephalopathy
XE0W8	(Hypertensive disease) or (hypertension)
XE0xu	Pregnancy with hypertension (& [pre-existing])
XM1Qp	Cardiomegaly - hypertensive
XSDSb	Diastolic hypertension
Xa0Cs	Labile hypertension
Xa0kX	Renovascular hypertension
Xa0lt	Pre-existing hypertension complicating pregnancy
Xa3fQ	Malignant hypertension
Xa8HD	On treatment for hypertension
XaIy8	Moderate hypertension control
XaZWm	Stage 1 hypertension (NICE - Nat Ins for Hth Clin Excl 2011)
XaZWn	Severe hypertension (Nat Inst for Health Clinical Ex 2011)
XaZbT	Hypertension resistant to drug therapy
XaZbz	Stage 2 hypertension (NICE - Nat Ins for Hth Clin Excl 2011)
XaZzo	Nocturnal hypertension
Xab9L	Stage 1 hyperten (NICE 2011) without evidnce end organ damge
Xab9M	Stage 1 hyperten (NICE 2011) with evidnce end organ damge
Y1328	Refractory Hypertension
